Assembly	[C]omplete BUSCOs	Complete and [S]ingle-copy BUSCOs	Complete and [D]uplicated BUSCOs	[F]ragmented BUSCOs	[M]issing BUSCOs	Name
GCA_001950435.1	1633	168	1465	5	68	Zygosaccharomyces rouxii NBRC 1876
GCA_001950555.1	1522	1517	5	8	176	Candida sp. JCM 15000 JCM 15000
GCA_001950575.1	1464	1463	1	12	230	Pichia membranifaciens KS47-1
GCA_001972345.1	1639	116	1523	3	64	Zygosaccharomyces rouxii NBRC 110957
GCA_001983305.1	1551	1549	2	16	139	Cyberlindnera fabianii 65
GCA_001983315.1	1515	1437	78	12	179	Saccharomyces cerevisiae 131
GCA_001983325.1	1435	1385	50	12	259	Pichia kudriavzevii 129
GCA_001984395.2	1643	139	1504	5	58	Zygosaccharomyces parabailii ATCC 60483
GCA_002007985.1	1570	1564	6	10	126	[Candida] boidinii Cb18
GCA_002007995.1	1512	1509	3	36	158	[Candida] boidinii TOMC-Y13
GCA_002008015.1	1568	1563	5	13	125	[Candida] boidinii NDK27A1
GCA_002008025.1	1570	1564	6	11	125	[Candida] boidinii UNISS-Cb60
GCA_002008065.1	1535	1531	4	23	148	[Candida] boidinii TOMC-Y47
GCA_002008075.1	1564	1559	5	15	127	[Candida] boidinii DBVPG6799
GCA_002008085.1	1551	1547	4	18	137	[Candida] boidinii DBVPG8035
GCA_002008095.1	1533	1529	4	26	147	[Candida] boidinii DBVPG7578
GCA_002024125.1	1104	1100	4	27	575	Starmerella bacillaris FRI751
GCA_002057635.1	1628	1545	83	5	73	Saccharomyces cerevisiae S288c
GCA_002057805.1	1629	1545	84	6	71	Saccharomyces cerevisiae DBVPG6765
GCA_002057885.1	1629	1548	81	4	73	Saccharomyces cerevisiae SK1
GCA_002057995.1	1633	1550	83	3	70	Saccharomyces cerevisiae YPS128
GCA_002058095.1	1625	1542	83	8	73	Saccharomyces cerevisiae UWOPS03-461.4
GCA_002058645.1	1628	1546	82	4	74	Saccharomyces cerevisiae Y12
GCA_002068075.1	1590	1587	3	6	110	[Candida] aaseri SH-14
GCA_002073855.1	1570	1569	1	10	126	Metschnikowia australis UFMG-CM-Y6158
GCA_002079025.1	1631	1549	82	3	72	Saccharomyces cerevisiae DBVPG6044
GCA_002079055.1	1627	1544	83	4	75	Saccharomyces paradoxus CBS432
GCA_002079085.1	1627	1542	85	4	75	Saccharomyces paradoxus N44
GCA_002079115.1	1624	1540	84	7	75	Saccharomyces paradoxus YPS138
GCA_002079145.1	1624	1543	81	7	75	Saccharomyces paradoxus UFRJ50816
GCA_002079175.1	1622	1539	83	3	81	Saccharomyces paradoxus UWOPS91-917.1
GCA_002094175.1	1108	1105	3	25	573	Starmerella bacillaris PAS13
GCA_002094185.1	1614	1610	4	8	84	Spathaspora boniae UFMG-CM-Y306
GCA_002105455.1	1614	1609	5	6	86	Spathaspora xylofermentans UFMG-HMD23.3
GCA_002109505.1	1598	1596	2	5	103	Yamadazyma laniorum yHMH7
GCA_002118035.1	1647	1643	4	1	58	Scheffersomyces shehatae ATY839
GCA_002118155.1	1647	1645	2	1	58	Scheffersomyces shehatae NBRC 1983
GCA_002141495.2	1435	1431	4	10	261	Hanseniaspora vineae T02/05AF
GCA_002151565.1	1611	1609	2	7	88	Kluyveromyces lactis GG799
GCA_002163515.1	1626	1543	83	5	75	Saccharomyces cerevisiae W303 W303
GCA_002166775.1	1369	1365	4	23	314	Pichia kudriavzevii Ckrusei653
GCA_002196765.1	1628	116	1512	3	75	Millerozyma farinosa KCTC 27753
GCA_002214845.1	1635	1631	4	7	64	Torulaspora delbrueckii SRCM101298
GCA_002214855.1	1599	1518	81	9	98	Saccharomyces cerevisiae SRCM100587
GCA_002214935.1	1521	1481	40	11	174	Kazachstania servazzii SRCM102023
GCA_002219185.1	1600	1564	36	5	101	[Candida] glabrata DSY562
GCA_002219195.1	1600	1564	36	4	102	[Candida] glabrata DSY565
GCA_002233575.1	404	374	30	249	1053	Geotrichum fermentans CICC 1368
GCA_002242635.1	1628	1546	82	7	71	Saccharomyces uvarum U4
GCA_002242645.1	1621	1540	81	9	76	Saccharomyces uvarum U3
GCA_002242675.1	1613	1537	76	7	86	Saccharomyces uvarum U1
GCA_002242715.1	1622	1549	73	7	77	Saccharomyces uvarum U2
GCA_002245345.1	1605	1601	4	6	95	Scheffersomyces stambukii UFMG-CM-Y427
GCA_002250225.1	1626	1550	76	7	73	Saccharomyces cerevisiae SK1
GCA_002251995.2	1425	1419	6	13	268	Wickerhamiella sorbophila DS02
GCA_002259805.1	1481	1422	59	36	189	Candida albicans UAB012-W3D5
GCA_002259835.1	1600	1564	36	3	103	[Candida] glabrata UAB047-W10D4
GCA_002259865.1	1506	1424	82	24	176	Candida albicans UAB090-W2D7
GCA_002259875.1	1544	1469	75	15	147	Candida albicans UAB012-W7D4
GCA_002259885.1	1526	1472	54	22	158	Candida albicans UAB040-W3D3
GCA_002270425.1	1105	1101	4	27	574	Starmerella bacillaris NP2
GCA_002271905.1	1626	1544	82	4	76	Saccharomyces cerevisiae DBVPG6044
GCA_002271945.1	1616	1534	82	5	85	Saccharomyces cerevisiae Y12
GCA_002276455.1	1589	1433	156	9	108	Candida albicans ATCC 10231
GCA_002335645.1	1620	1507	113	5	81	Saccharomyces cerevisiae Kagoshima no. 2
GCA_002356615.1	1615	1613	2	7	84	Kluyveromyces marxianus NRRL Y-6860
GCA_002370125.1	1570	1569	1	12	124	Metschnikowia cubensis MUCL 45751
GCA_002370135.1	1569	1568	1	9	128	Metschnikowia kipukae UWOPS 00-669.2
GCA_002370145.1	1584	1582	2	8	114	[Candida] ipomoeae UWOPS 01-141c3
GCA_002370175.1	1572	1571	1	10	124	Metschnikowia colocasiae UWOPS 03-202.1
GCA_002370185.1	1577	1576	1	9	120	Metschnikowia sp. 01-655c1 UWOPS 01-655c1
GCA_002370245.1	1570	1569	1	8	128	Metschnikowia sp. 04-226.1 UWOPS 04-226.1
GCA_002370275.1	1560	1559	1	8	138	Metschnikowia shivogae UWOPS 07-203.2
GCA_002370295.1	1559	1557	2	8	139	Metschnikowia bowlesiae UWOPS 12-619.1
GCA_002370315.1	1573	1572	1	12	121	Metschnikowia kamakouana UWOPS 04-206.1
GCA_002370325.1	1564	1562	2	13	129	Metschnikowia hawaiiensis UWOPS 87-2203.2
GCA_002370455.1	1556	1555	1	13	137	Metschnikowia hibisci UWOPS 95-805.1
GCA_002370475.1	1564	1564	0	9	133	Metschnikowia drakensbergensis EBD-CdVSA10-2A
GCA_002370495.1	1555	1555	0	9	142	Metschnikowia proteae EBD-A10Y1
GCA_002370515.1	1564	1564	0	6	136	Metschnikowia proteae EBD-T1Y1T
GCA_002370575.1	1556	1555	1	9	141	Metschnikowia sp. M2Y3 EBD-CdV M2Y3
GCA_002370595.1	1560	1560	0	10	136	Metschnikowia drakensbergensis EBD-CdVSA09-2T
GCA_002370615.1	1565	1564	1	10	131	Metschnikowia aberdeeniae SUB 05-213.1
GCA_002370635.1	1582	1581	1	8	116	Metschnikowia cerradonensis UFMG 03-T67.1
GCA_002370645.1	1583	1583	0	9	114	Metschnikowia sp. 00-154.1 UWOPS 00-154.1
GCA_002370655.1	1583	1582	1	10	113	Metschnikowia matae var. matae UFMG-CM-Y391A
GCA_002370695.1	1584	1583	1	8	114	Metschnikowia matae var. maris UFMG-CM-Y397T
GCA_002370705.1	1581	1580	1	10	115	Metschnikowia santaceciliae UWOPS 01-142b1
GCA_002370735.1	1563	1560	3	12	131	Metschnikowia dekortorum UWOPS 03-172.2
GCA_002370755.1	1564	1562	2	9	133	Metschnikowia mauinuiana UWOPS 04-110.4
GCA_002370765.1	1560	1559	1	15	131	Metschnikowia similis UWOPS 03-133.4
GCA_002370795.1	1565	1564	1	10	131	Metschnikowia sp. 03-147.1 UWOPS 03-147.1
GCA_002370815.1	1568	1567	1	10	128	Metschnikowia hamakuensis UWOPS 04-199.1
GCA_002370825.1	1561	1559	2	6	139	Metschnikowia bowlesiae UWOPS 12-611.1
GCA_002370835.1	1585	1584	1	10	111	Metschnikowia continentalis UWOPS 95-402.1
GCA_002370855.1	1561	1560	1	19	126	Metschnikowia borealis UWOPS 96-101.1
GCA_002370875.1	1569	1568	1	10	127	Metschnikowia arizonensis UWOPS 99-103.4
GCA_002370905.1	1587	1586	1	6	113	[Candida] ipomoeae UWOPS 99-324.1
GCA_002370915.1	1582	1581	1	9	115	Metschnikowia lochheadii UWOPS 99-661.1
GCA_002374375.1	1581	1580	1	11	114	Metschnikowia matae var. matae UFMG-CM-Y395T
GCA_002374385.1	1552	1551	1	27	127	Metschnikowia borealis SUB 99-207.1
GCA_002374395.1	1579	1578	1	8	119	Metschnikowia cerradonensis UFMG 03-T68.1
GCA_002374405.1	1567	1566	1	13	126	Metschnikowia cubensis MUCL 45753
GCA_002374455.1	1555	1553	2	14	137	Metschnikowia dekortorum UWOPS 01-142b3
GCA_002374465.1	1570	1569	1	13	123	Metschnikowia colocasiae UWOPS 03-134.2
GCA_002374475.1	1561	1560	1	15	130	Metschnikowia similis UWOPS 03-158.2
GCA_002374485.1	1583	1582	1	11	112	Metschnikowia santaceciliae UWOPS 01-517a1
GCA_002374535.1	1578	1577	1	8	120	Metschnikowia kamakouana UWOPS 04-112.5
GCA_002374545.1	1580	1578	2	13	113	Metschnikowia lochheadii UWOPS 03-167a3
GCA_002374555.1	1570	1568	2	11	125	Metschnikowia mauinuiana UWOPS 04-190.1
GCA_002374595.1	1558	1557	1	17	131	Metschnikowia hamakuensis UWOPS 04-207.1
GCA_002374615.1	1561	1558	3	16	129	Metschnikowia bowlesiae UWOPS 04-243x5
GCA_002374635.1	1567	1565	2	14	125	Metschnikowia sp. 04-218.3 UWOPS 04-218.3
GCA_002374645.1	1564	1563	1	9	133	Metschnikowia shivogae UWOPS 04-310.1
GCA_002374675.1	1561	1560	1	11	134	Metschnikowia aberdeeniae UWOPS 07-202.1
GCA_002374695.1	1568	1545	23	12	126	Metschnikowia hawaiiensis UWOPS 91-745.2
GCA_002374715.1	1588	1587	1	6	112	[Candida] ipomoeae UWOPS 10-104.1
GCA_002374725.1	1563	1563	0	12	131	Metschnikowia hibisci UWOPS 95-797.2
GCA_002374735.1	1576	1574	2	18	112	Metschnikowia sp. 13-106.1 UWOPS 13-106.1
GCA_002374775.1	1584	1583	1	8	114	Metschnikowia continentalis UWOPS 96-173
GCA_002374795.1	1564	1563	1	9	133	Metschnikowia arizonensis UWOPS 99-103.3.1
GCA_002375215.1	1636	211	1425	3	67	Saccharomyces sp. M14 M14
GCA_002557695.1	1613	928	685	12	81	Saccharomyces pastorianus CBS 1503 CBS 1503
GCA_002564235.1	1463	1456	7	20	223	Saccharomycopsis fodiens CBS 8332
GCA_002564245.1	1394	1381	13	18	294	Saccharomycopsis fermentans CBS 7830
GCA_002571405.2	1625	1544	81	6	75	Saccharomyces cerevisiae CEN.PK113-7D; CBS 8340
GCA_002759435.2	1589	1587	2	7	110	[Candida] auris B8441
GCA_002775015.1	1591	1586	5	7	108	[Candida] auris B11221
GCA_002798095.1	1440	1439	1	15	251	Pichia kudriavzevii NG7
GCA_002804325.1	1624	1543	81	7	75	Saccharomyces cerevisiae I-328
GCA_002807125.1	1620	1546	74	6	80	Saccharomyces cerevisiae SPSC01
GCA_002835845.1	1604	147	1457	6	96	Candida albicans SC5314-GTH12
GCA_002837675.1	1611	61	1550	4	91	Candida albicans SC5314-P0
GCA_002864065.1	1551	1549	2	16	139	[Candida] boidinii
GCA_002864075.1	1480	1473	7	26	200	Candida tropicalis
GCA_002893645.1	1584	1583	1	10	112	[Candida] hawaiiana UWOPS91-698.3
GCA_002893665.1	1562	1562	0	17	127	Metschnikowia orientalis UWOPS99-745.6
GCA_002893685.1	1563	1562	1	14	129	Metschnikowia orientalis UWOPS05-269.1
GCA_002893705.1	1566	1566	0	10	130	Metschnikowia drosophilae UWOPS83-1143.1
GCA_002893725.1	1562	1562	0	11	133	[Candida] torresii CBS 5152
GCA_002893735.1	1566	1566	0	10	130	Metschnikowia drosophilae UWOPS83-1135.3
GCA_002894425.1	971	966	5	23	712	Hanseniaspora uvarum AWRI3581
GCA_002894445.1	1413	1409	4	18	275	Metschnikowia sp. AWRI3582 AWRI3582
GCA_002895615.1	1445	1436	9	12	249	Saccharomycopsis sp. UWO(PS) 91-127.1 UWO(PS) 91-127.1
GCA_002900925.1	1647	1646	1	4	55	Lachancea quebecensis
GCA_002911495.1	1621	1618	3	1	84	Spathaspora sp. UFMG-CM-Y6060 UFMG-CM-Y6060
GCA_002926055.1	1575	1574	1	9	122	[Candida] haemuloni B11899
GCA_002926085.1	1534	1531	3	9	163	[Candida] duobushaemulonis B09383
GCA_002933435.1	1582	1579	3	10	114	[Candida] pseudohaemulonis UZ153_17
GCA_002933895.1	1622	1537	85	7	77	Saccharomyces cerevisiae BAW-6
GCA_003004515.1	1637	266	1371	3	66	Saccharomyces pastorianus HA2560
GCA_003004545.1	1637	293	1344	6	63	Saccharomyces cerevisiae x Saccharomyces kudriavzevii HA1836
GCA_003013175.1	1629	1628	1	6	71	Torulaspora delbrueckii COFT1
GCA_003013715.2	1591	1590	1	7	108	[Candida] auris B11220
GCA_003013735.1	1585	1583	2	12	109	[Candida] pseudohaemulonis B12108
GCA_003014415.1	1599	1597	2	8	99	[Candida] auris B11243
GCA_003017285.1	1540	728	812	12	154	Metschnikowia fructicola AP47
GCA_003020065.1	1613	1526	87	9	84	Saccharomyces cerevisiae 98-5
GCA_003020785.1	1267	1267	0	32	407	Hanseniaspora gamundiae CRUB 1928
GCA_003033435.1	1104	1104	0	74	528	Starmerella magnoliae PYCC 2903
GCA_003033605.1	1603	1602	1	9	94	Zygosaccharomyces kombuchaensis CBS 8849
GCA_003033705.1	1217	1215	2	45	444	Wickerhamiella domercqiae PYCC 3067
GCA_003033765.1	1106	1102	4	25	575	Starmerella bacillaris PYCC 3044
GCA_003033785.1	1183	1181	2	34	489	Starmerella bombicola PYCC 5882
GCA_003033855.1	942	941	1	114	650	Pichia kudriavzevii SJP
GCA_003045245.1	1374	1370	4	29	303	Wickerhamiella galacta NRRL Y-17645
GCA_003046155.1	1617	1616	1	7	82	Kluyveromyces marxianus LHW-O
GCA_003046695.1	1629	1545	84	6	71	Saccharomyces cerevisiae I-30
GCA_003046715.1	1621	1541	80	6	79	Saccharomyces cerevisiae I-566
GCA_003046745.1	1627	1547	80	7	72	Saccharomyces cerevisiae I-329
GCA_003054305.1	1503	1496	7	7	196	Yarrowia lipolytica H222 (CLIB 80)
GCA_003054345.1	1540	1534	6	8	158	Yarrowia lipolytica W29 (CLIB89)
GCA_003054365.1	1515	1505	10	10	181	Yarrowia lipolytica IBT 446
GCA_003054405.1	1420	1416	4	19	267	Pichia kudriavzevii CBS5147
GCA_003054445.1	1436	1432	4	14	256	Pichia kudriavzevii CBS573
GCA_003086655.1	1625	1542	83	5	76	Saccharomyces cerevisiae BY4742
GCA_003123035.1	1599	1521	78	7	100	Nadsonia starkeyi-henricii UCD142
GCA_003123585.1	1608	1601	7	3	95	Barnettozyma californica UCD09
GCA_003123635.1	598	478	120	259	849	Metschnikowia aff. pulcherrima UCD127
GCA_003123885.1	1608	1601	7	3	95	Barnettozyma californica UCD89
GCA_003205855.1	1634	1631	3	8	64	Cyberlindnera fabianii YJS4271
GCA_003243015.1	1514	1484	30	13	179	Saccharomycopsis capsularis NRRL Y-17639
GCA_003243035.1	1591	1587	4	6	109	Nakazawaea wickerhamii NRRL Y-2563
GCA_003243065.1	1389	1388	1	12	305	Saturnispora dispora NRRL Y-1447
GCA_003243075.1	1598	1591	7	3	105	Peterozyma xylosa NRRL Y-12939
GCA_003243085.1	1560	1470	90	17	129	Citeromyces matritensis NRRL Y-2407
GCA_003243125.1	1560	1556	4	10	136	[Candida] boidinii NRRL Y-2332
GCA_003243135.1	1566	1553	13	8	132	Ambrosiozyma philentoma NRRL Y-7523
GCA_003243715.1	839	838	1	50	817	Hanseniaspora uvarum CBA6001
GCA_003243735.1	1512	1469	43	16	178	Kazachstania servazzii CBA6004
GCA_003243785.1	1582	1575	7	6	118	Yarrowia lipolytica CBA6003
GCA_003243815.1	1635	1631	4	7	64	[Candida] sake CBA6005
GCA_003260575.1	1082	1077	5	25	599	Starmerella bacillaris CBS 9494
GCA_003270095.1	1628	1547	81	3	75	Saccharomyces cerevisiae YN2
GCA_003270135.1	1603	1525	78	13	90	Saccharomyces cerevisiae LJQ13C.1
GCA_003270145.1	1599	1533	66	10	97	Saccharomyces cerevisiae LJQ13A.5
GCA_003270175.1	1630	1552	78	3	73	Saccharomyces cerevisiae MTJZ4
GCA_003270185.1	1633	1555	78	3	70	Saccharomyces cerevisiae LJZ22.1
GCA_003270205.1	1612	1538	74	4	90	Saccharomyces cerevisiae LJQ13.C7
GCA_003270245.1	1630	1549	81	3	73	Saccharomyces cerevisiae JZ10.1
GCA_003270305.1	1624	1548	76	6	76	Saccharomyces cerevisiae JT94.11
GCA_003270315.1	1630	1550	80	2	74	Saccharomyces cerevisiae JT49.3
GCA_003270325.1	1630	1550	80	3	73	Saccharomyces cerevisiae JT49.1
GCA_003270335.1	1630	1552	78	2	74	Saccharomyces cerevisiae JT43.1
GCA_003270425.1	1603	1525	78	12	91	Saccharomyces cerevisiae JT21.3
GCA_003270435.1	1630	1553	77	4	72	Saccharomyces cerevisiae JT21.1
GCA_003270455.1	1627	1545	82	3	76	Saccharomyces cerevisiae HN6.1
GCA_003270465.1	1627	1547	80	4	75	Saccharomyces cerevisiae BJ1
GCA_003270535.1	1628	1550	78	2	76	Saccharomyces cerevisiae 502
GCA_003270565.1	1630	1552	78	3	73	Saccharomyces cerevisiae 155
GCA_003270575.1	1631	1552	79	1	74	Saccharomyces cerevisiae 2.591
GCA_003270595.1	1630	1549	81	3	73	Saccharomyces cerevisiae MTJZ2
GCA_003270665.1	1628	1548	80	3	75	Saccharomyces cerevisiae JQ10.6
GCA_003270695.1	1628	1551	77	2	76	Saccharomyces cerevisiae JM32.8
GCA_003270705.1	1632	1553	79	2	72	Saccharomyces cerevisiae JM32.3
GCA_003270715.1	1631	1555	76	3	72	Saccharomyces cerevisiae LJQ131.6
GCA_003270765.1	1629	1554	75	4	73	Saccharomyces cerevisiae JTHB1
GCA_003270815.1	1628	1548	80	2	76	Saccharomyces cerevisiae JT10.10
GCA_003270825.1	1632	1552	80	3	71	Saccharomyces cerevisiae JQHG.1
GCA_003270835.1	1625	1547	78	5	76	Saccharomyces cerevisiae JQ8.4
GCA_003270855.1	1629	1551	78	3	74	Saccharomyces cerevisiae JQ8.3
GCA_003270935.1	1630	1550	80	3	73	Saccharomyces cerevisiae CJM24.1
GCA_003270945.1	1631	1552	79	3	72	Saccharomyces cerevisiae 427
GCA_003270955.1	1631	1555	76	2	73	Saccharomyces cerevisiae 229
GCA_003270985.1	1629	1549	80	5	72	Saccharomyces cerevisiae 168
GCA_003271045.1	1633	1552	81	2	71	Saccharomyces cerevisiae MTJZ1
GCA_003271085.1	1628	1549	79	4	74	Saccharomyces cerevisiae MJQ3.1
GCA_003271115.1	1631	1552	79	2	73	Saccharomyces cerevisiae HN3.8
GCA_003271125.1	1629	1548	81	2	75	Saccharomyces cerevisiae BQ1.1
GCA_003271135.1	1629	1550	79	3	74	Saccharomyces cerevisiae 2.1392
GCA_003271185.1	1577	1502	75	22	107	Saccharomyces cerevisiae MTZ13.12
GCA_003271225.1	1625	1545	80	4	77	Saccharomyces cerevisiae MTJZ3
GCA_003271245.1	1632	1553	79	2	72	Saccharomyces cerevisiae HZJZ5.5
GCA_003271255.1	1631	1553	78	3	72	Saccharomyces cerevisiae HZJZ5.4
GCA_003271315.1	1630	1551	79	3	73	Saccharomyces cerevisiae HZJZ4.5
GCA_003271355.1	1631	1550	81	2	73	Saccharomyces cerevisiae HLJ225
GCA_003271365.1	1629	1548	81	2	75	Saccharomyces cerevisiae HLJ201
GCA_003271395.1	1630	1547	83	3	73	Saccharomyces cerevisiae HLJ167
GCA_003271425.1	1630	1550	80	2	74	Saccharomyces cerevisiae TY3.9
GCA_003271475.1	1629	1548	81	2	75	Saccharomyces cerevisiae TY2.1
GCA_003271505.1	1618	1540	78	7	81	Saccharomyces cerevisiae JQ9.3
GCA_003271535.1	1626	1546	80	2	78	Saccharomyces cerevisiae TY1.5
GCA_003271545.1	1629	1546	83	3	74	Saccharomyces cerevisiae JQ9.4
GCA_003271555.1	1630	1550	80	3	73	Saccharomyces cerevisiae JL2
GCA_003271565.1	1630	1549	81	2	74	Saccharomyces cerevisiae HN5.1
GCA_003271645.1	1628	1550	78	5	73	Saccharomyces cerevisiae XZ10.1
GCA_003271675.1	1629	1550	79	4	73	Saccharomyces cerevisiae XZ2.1
GCA_003271695.1	1631	1551	80	3	72	Saccharomyces cerevisiae JT49.4
GCA_003271705.1	1631	1552	79	3	72	Saccharomyces cerevisiae XZ7
GCA_003271775.1	1628	1547	81	4	74	Saccharomyces cerevisiae SXJM6.6
GCA_003271805.1	1628	1548	80	3	75	Saccharomyces cerevisiae HN2.2
GCA_003271815.1	1632	1553	79	4	70	Saccharomyces cerevisiae YM3.1
GCA_003271825.1	1605	1523	82	11	90	Saccharomyces cerevisiae JM28.13
GCA_003271835.1	1631	1552	79	2	73	Saccharomyces cerevisiae BM5.1
GCA_003271925.1	1630	1550	80	3	73	Saccharomyces cerevisiae QH6.5
GCA_003271935.1	1629	1550	79	3	74	Saccharomyces cerevisiae QH7.4
GCA_003271945.1	1607	1545	62	7	92	Saccharomyces cerevisiae NX4.1
GCA_003271955.1	1627	1548	79	4	75	Saccharomyces cerevisiae QH3.1
GCA_003272045.1	1626	1549	77	7	73	Saccharomyces cerevisiae NX8.1
GCA_003272055.1	1628	1545	83	2	76	Saccharomyces cerevisiae WL4
GCA_003272065.1	1627	1545	82	6	73	Saccharomyces cerevisiae QH2.1
GCA_003272075.1	1630	1551	79	3	73	Saccharomyces cerevisiae SXJM1.1
GCA_003272165.1	1627	1548	79	5	74	Saccharomyces cerevisiae QH7.3
GCA_003272175.1	1629	1548	81	3	74	Saccharomyces cerevisiae JM8.3
GCA_003272185.1	1628	1550	78	2	76	Saccharomyces cerevisiae NX7.1
GCA_003272195.1	1629	1550	79	3	74	Saccharomyces cerevisiae JM4.8
GCA_003272285.1	1631	1555	76	4	71	Saccharomyces cerevisiae JM14.3
GCA_003272295.1	1628	1549	79	5	73	Saccharomyces cerevisiae JM13.2
GCA_003272305.1	1627	1545	82	6	73	Saccharomyces cerevisiae GS5.7
GCA_003272315.1	1630	1554	76	6	70	Saccharomyces cerevisiae GS5.6
GCA_003272405.1	1623	1544	79	8	75	Saccharomyces cerevisiae GS1
GCA_003272415.1	1628	1546	82	4	74	Saccharomyces cerevisiae DJM4.1
GCA_003272425.1	1626	1544	82	5	75	Saccharomyces cerevisiae CJM20.1
GCA_003272445.1	1630	1551	79	3	73	Saccharomyces cerevisiae CJM11.1
GCA_003272525.1	1630	1550	80	4	72	Saccharomyces cerevisiae ANGGW.1
GCA_003272535.1	1627	1545	82	4	75	Saccharomyces cerevisiae NX8.3
GCA_003272575.1	1632	1555	77	2	72	Saccharomyces cerevisiae WJZ1.2
GCA_003272595.1	1631	1555	76	5	70	Saccharomyces cerevisiae WJM5.2
GCA_003272625.1	1629	1550	79	4	73	Saccharomyces cerevisiae LJM6A.4
GCA_003272665.1	1630	1551	79	3	73	Saccharomyces cerevisiae LJM6A.1
GCA_003272705.1	1628	1552	76	3	75	Saccharomyces cerevisiae LJM21.10
GCA_003272715.1	1628	1553	75	4	74	Saccharomyces cerevisiae LJM21.1
GCA_003272725.1	1628	1551	77	4	74	Saccharomyces cerevisiae CJM25.5
GCA_003272755.1	1629	1554	75	5	72	Saccharomyces cerevisiae CJM25.4
GCA_003272815.1	1631	1556	75	3	72	Saccharomyces cerevisiae CJM25.1
GCA_003272835.1	1629	1552	77	4	73	Saccharomyces cerevisiae CJM21.4
GCA_003272855.1	1628	1550	78	3	75	Saccharomyces cerevisiae CJM19.6
GCA_003272905.1	1627	1551	76	4	75	Saccharomyces cerevisiae BT3
GCA_003272925.1	1629	1550	79	5	72	Saccharomyces cerevisiae BT2.6
GCA_003272945.1	1554	1505	49	15	137	Saccharomyces cerevisiae XJ7.3
GCA_003272975.1	1626	1546	80	6	74	Saccharomyces cerevisiae XJ2
GCA_003273025.1	1630	1557	73	2	74	Saccharomyces cerevisiae WM11-3
GCA_003273035.1	1633	1552	81	3	70	Saccharomyces cerevisiae WM7-1
GCA_003273045.1	1631	1554	77	4	71	Saccharomyces cerevisiae QH21-3
GCA_003273075.1	1632	1554	78	1	73	Saccharomyces cerevisiae QH1-3
GCA_003273145.1	1631	1546	85	3	72	Saccharomyces cerevisiae HQ3.1
GCA_003273155.1	1630	1552	78	4	72	Saccharomyces cerevisiae NQ13-1
GCA_003273165.1	1630	1551	79	4	72	Saccharomyces cerevisiae HQ1.1
GCA_003273175.1	1560	1490	70	27	119	Saccharomyces cerevisiae CQJZ1.4
GCA_003273265.1	1628	1550	78	4	74	Saccharomyces cerevisiae BTP1
GCA_003273275.1	1629	1549	80	2	75	Saccharomyces cerevisiae BQ8.2
GCA_003273285.1	1629	1549	80	2	75	Saccharomyces cerevisiae BQ8.1
GCA_003273295.1	1630	1549	81	3	73	Saccharomyces cerevisiae ANG.CJ.1
GCA_003273385.1	1629	1549	80	2	75	Saccharomyces cerevisiae HLJ59
GCA_003273395.1	1628	1547	81	3	75	Saccharomyces cerevisiae HLJ10
GCA_003273405.1	1628	1547	81	3	75	Saccharomyces cerevisiae HLJ4
GCA_003273415.1	1626	1539	87	4	76	Saccharomyces cerevisiae GZLJ3.30
GCA_003273495.1	1625	1545	80	4	77	Saccharomyces cerevisiae GZLJ3.22
GCA_003273535.1	1629	1549	80	1	76	Saccharomyces cerevisiae GZLJ3.19
GCA_003273555.1	1627	1547	80	4	75	Saccharomyces cerevisiae GZLJ3.1
GCA_003273575.1	1628	1549	79	3	75	Saccharomyces cerevisiae TY1.4
GCA_003273585.1	1628	1550	78	4	74	Saccharomyces cerevisiae XZ4.2
GCA_003273625.1	1628	1547	81	4	74	Saccharomyces cerevisiae XZ4.1
GCA_003273685.1	1629	1548	81	5	72	Saccharomyces cerevisiae XZ3.1
GCA_003273695.1	1630	1550	80	4	72	Saccharomyces cerevisiae JM28.2
GCA_003273705.1	1633	1556	77	3	70	Saccharomyces cerevisiae QH7.2
GCA_003273725.1	1628	1545	83	5	73	Saccharomyces cerevisiae QH1.1
GCA_003273805.1	1629	1553	76	5	72	Saccharomyces cerevisiae GS3.1
GCA_003273815.1	1625	1547	78	6	75	Saccharomyces cerevisiae WL2
GCA_003273825.1	1629	1547	82	5	72	Saccharomyces cerevisiae WL1
GCA_003273835.1	1627	1546	81	4	75	Saccharomyces cerevisiae SXJM9.5
GCA_003273925.1	1632	1550	82	4	70	Saccharomyces cerevisiae JM37.2
GCA_003273935.1	1631	1552	79	2	73	Saccharomyces cerevisiae JM22.1
GCA_003273955.1	1623	1538	85	8	75	Saccharomyces cerevisiae GS6
GCA_003273985.1	1626	1545	81	5	75	Saccharomyces cerevisiae CJM6.2
GCA_003274025.1	1631	1555	76	3	72	Saccharomyces cerevisiae LJM21.9
GCA_003274055.1	1629	1549	80	3	74	Saccharomyces cerevisiae LJM21.3
GCA_003274085.1	1629	1548	81	3	74	Saccharomyces cerevisiae HN1.9
GCA_003274095.1	1629	1551	78	3	74	Saccharomyces cerevisiae CJM19.5
GCA_003274125.1	1627	1548	79	5	74	Saccharomyces cerevisiae WL3
GCA_003274195.1	1630	1555	75	3	73	Saccharomyces cerevisiae QH45-2
GCA_003274205.1	1633	1553	80	3	70	Saccharomyces cerevisiae QH25-4
GCA_003274215.1	1629	1549	80	4	73	Saccharomyces cerevisiae BT2.8
